producto,categoria,proveedor,estado,metodo,imagen_local,fuente_imagen,pagina_fuente,error
3000D AIRFLOW,Gabinetes,Corsair,fallback,official-image-search,../src/imgs/productos/3000d-airflow.webp,https://d1q3zw97enxzq2.cloudfront.net/images/3000D_RGB_Main_Visual.width-1500.format-webp.webp,https://www.corsair.com/lm/pt/explorer/diy-builder/cases/3000d-rgb-airflow-mid-tower-case/,La URL no devolvió una imagen
Core i3-10100F,Procesadores,Intel,fallback,official-image-search,../src/imgs/productos/core-i3-10100f.webp,https://www.intel.com/content/dam/support/us/en/images/processors/5940_image11.png,https://www.thailand.intel.com/content/www/th/th/support/articles/000005940/processors.html,Imagen tipo banner descartada (1517x349)
Core i3-10105F,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i3-10105f.webp,https://community.intel.com/t5/image/serverpage/image-id/52874i2AD11A6C93E380E6?v=v2&whitelist-exif-data=Orientation%2CResolution%2COriginalDefaultFinalSize%2CCopyright,https://community.intel.com/t5/Blogs/Tech-Innovation/Artificial-Intelligence-AI/Intel-Shows-OCI-Optical-I-O-Chiplet-Co-packaged-with-CPU-at/post/1582541,
Core i5-10400F,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i5-10400f.webp,https://www.intel.com/content/dam/www/central-libraries/us/en/images/2022-08/rpl-2022-dotcom-2col-nextlevel.png,https://www.intel.com/content/www/us/en/products/docs/processors/core/13th-gen-processors.html,
Core i5-10600K,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i5-10600k.webp,https://www.intel.com/content/dam/www/central-libraries/us/en/images/2022-08/rpl-2022-dotcom-2col-nextlevel.png,https://www.intel.com/content/www/us/en/products/docs/processors/core/13th-gen-processors.html,
Core i7-10700,Procesadores,Intel,real,fallback-image-search,../src/imgs/productos/core-i7-10700.webp,https://www.ryans.com/storage/products/main/intel-10th-gen-comet-lake-core-i7-10700-processor-11671012044.webp,https://www.ryans.com/intel-10th-gen-comet-lake-core-i7-10700-processor,
Core i9-10900K,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i9-10900k.webp,https://www.intel.com/content/dam/www/central-libraries/us/en/images/2023-09/core-ultra-9-badge-highrez.png,https://ark.intel.com/content/www/jp/ja/ark/products/241060/intel-core-ultra-9-processor-285k-36m-cache-up-to-5-70-ghz.html,
Core i5-11400F,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i5-11400f.webp,https://www.intel.com/content/dam/www/central-libraries/xl/es/images/2022-06/km-1920x1080-i5.png,https://ark.intel.com/content/www/us/en/ark/products/238779.html,
Core i5-11600K,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i5-11600k.webp,https://www.intel.com/content/dam/www/central-libraries/us/en/images/2022-08/rpl-2022-dotcom-2col-nextlevel.png,https://www.intel.com/content/www/us/en/products/docs/processors/core/13th-gen-processors.html,
Core i7-11700F,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i7-11700f.webp,https://www.intel.com/content/dam/www/central-libraries/xl/es/images/2022-06/km-1920x1080-i7.png,https://www.intel.com/content/www/us/en/products/sku/232130/intel-core-i713620h-processor-24m-cache-up-to-4-90-ghz/downloads.html,
Core i9-11900K,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i9-11900k.webp,https://www.intel.com/content/dam/www/central-libraries/us/en/images/2023-09/core-ultra-9-badge-highrez.png,https://ark.intel.com/content/www/jp/ja/ark/products/241060/intel-core-ultra-9-processor-285k-36m-cache-up-to-5-70-ghz.html,
PRIME H510M-E,Placas madre,ASUS,real,official-image-search,../src/imgs/productos/prime-h510m-e.webp,https://dlcdnwebimgs.asus.com/gain/5061a137-94df-4eb7-8a37-e6a1b79d7445/w692,https://www.asus.com/motherboards-components/motherboards/prime/prime-h510m-e/,
B560M PRO-VDH WIFI,Placas madre,MSI,real,fallback-image-search,../src/imgs/productos/b560m-pro-vdh-wifi.webp,https://asset.msi.com/resize/image/global/product/product_161464729060a42747a64eee89f9047901d5d39c71.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png,https://de.msi.com/Motherboard/B560M-PRO-VDH-WIFI/,
B560M DS3H,Placas madre,Gigabyte,real,official-image-search,../src/imgs/productos/b560m-ds3h.webp,https://static.gigabyte.com/StaticFile/Image/Global/03e9d951814fffeceb421fc153a5b1a6/Product/28826,https://cz.gigabyte.com/motherboards/B560M-DS3H-V2-rev-10,
TUF GAMING B560-PLUS WIFI,Placas madre,ASUS,real,fallback-image-search,../src/imgs/productos/tuf-gaming-b560-plus-wifi.webp,https://dlcdnwebimgs.asus.com/files/media/41bd4406-d39a-4b6a-a424-27c74e396cbc/img/spec_pc.png,https://www.sourcetechcomputer.com/product/asus-tuf-gaming-b560-plus-wifi-11th-and-10th-gen-atx-motherboard/,
PRIME Z590-P,Placas madre,ASUS,real,official-image-search,../src/imgs/productos/prime-z590-p.webp,https://dlcdnwebimgs.asus.com/gain/17aff855-1b28-4a7d-8ca1-9aaf8418b723/w800,https://www.asus.com/bt/motherboards-components/motherboards/prime/prime-z590-p/,
MAG Z590 TOMAHAWK WIFI,Placas madre,MSI,real,official-image-search,../src/imgs/productos/mag-z590-tomahawk-wifi.webp,https://asset.msi.com/resize/image/global/product/product_1611552557d0cf50e7f40867c764b63cb21b6939da.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png,https://us.msi.com/Motherboard/MAG-Z590-TOMAHAWK-WIFI,
